AAA01;;;vřes obecný (<i>Calluna vulgaris</i>)
AAA02;;;šicha oboupohlavná (<i>Empetrum hermaphroditum</i>)
ABA01;;;kostřava nízká (<i>Festuca supina</i>), metlička křivolaká (<i>Avenella flexuosa</i>), ostřice Bigelowova (<i>Carex bigelowii</i>)
ABB01;;;metlička křivolaká (<i>Avenella flexuosa</i>), smilka tuhá (<i>Nardus stricta</i>)
ACA01;;;kostřava peřestá (<i>Festuca versicolor</i>)
ACA02;;;psineček alpský (<i>Agrostis alpina</i>)
ADA01;;;bezkolenec modrý (<i>Molinia caerulea</i>)
ADA02;;;třtina chloupkatá (<i>Calamagrostis villosa</i>)
ADA03;;;metlice trsnatá (<i>Deschampsia cespitosa</i>)
ADB01;;;třtina rákosovitá (<i>Calamagrostis arundinacea</i>)
ADC01;;;bříza karpatská (<i>Betula carpatica</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), vrba slezská (<i>Salix silesiaca</i>)
ADC02;;;jeřáb ptačí (<i>Sorbus aucuparia</i>), jeřáb sudetský (<i>Sorbus sudetica</i>), střemcha obecná skalní (<i>Prunus padus subsp. borealis</i>)
ADD01;;;havez česnáčková (<i>Adenostyles alliariae</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), ptačinec hajní (<i>Stellaria nemorum</i>)
ADD02;;;metlice trsnatá (<i>Deschampsia cespitosa</i>), vrba laponská (<i>Salix lapponum</i>), mech (<i>Sphagnum cuspidatum</i>), mech (<i>Sphagnum squarrosum</i>)
ADD03;;;bažanka vytrvalá (<i>Mercurialis perennis</i>), kakost lesní (<i>Geranium sylvaticum</i>), lipnice širolistá (<i>Poa chaixii</i>), okruh starčku hajního (<i>Senecio nemorensis agg.</i>), srha laločnatá (<i>Dactylis glomerata</i>)
ADD04;;;havez česnáčková (<i>Adenostyles alliariae</i>), srha laločnatá (<i>Dactylis glomerata</i>)
ADD05;;;devětsil bílý (<i>Petasites albus</i>), mléčivec alpský (<i>Cicerbita alpina</i>)
ADE01;;;kapraď samec (<i>Dryopteris filix-mas</i>)
ADE02;;;papratka horská (<i>Athyrium distentifolium</i>)
KAA01;;;kopřiva dvoudomá (<i>Urtica dioica</i>), svízel přítula  (<i>Galium aparine</i>), vrba bílá (<i>Salix alba</i>), vrba košíkářská (<i>Salix viminalis</i>), vrba křehká (<i>Salix euxina</i>), vrba nachová (<i>Salix purpurea</i>), vrba trojmužná (<i>Salix triandra</i>)
KAB01;;;vrba nachová (<i>Salix purpurea</i>), vrba šedá (<i>Salix elaeagnos</i>)
KAB02;;;vrba křehká (<i>Salix euxina</i>), vrba nachová (<i>Salix purpurea</i>)
KAB03;;;židoviník německý  (<i>Myricaria germanica</i>)
